group,name,nrows,ncols,nnz,is_real,is_binary,is_nd,posdef,pattern_symmetry,numerical_symmetry,kind,nentries,estimated_mb,url
Schenk_IBMNA,c-31,5339,5339,78571,1,0,0,0,1.0,1.0,optimization problem,78571,2.400,https://sparse.tamu.edu/MM/Schenk_IBMNA/c-31.tar.gz
Gaertner,pesa,11738,11738,79566,1,0,0,0,1.0,0.999970513652179,directed weighted graph,79566,2.430,https://sparse.tamu.edu/MM/Gaertner/pesa.tar.gz
ML_Graph,optdigits_10NN,5620,5620,79650,1,0,0,0,1.0,1.0,undirected weighted graph,79650,2.433,https://sparse.tamu.edu/MM/ML_Graph/optdigits_10NN.tar.gz
Oberwolfach,LFAT5000,19994,19994,79966,1,0,1,1,1.0,1.0,model reduction problem,79966,2.442,https://sparse.tamu.edu/MM/Oberwolfach/LFAT5000.tar.gz
GHS_indef,aug2dc,30200,30200,80000,1,0,1,0,1.0,1.0,2D/3D problem,80000,2.443,https://sparse.tamu.edu/MM/GHS_indef/aug2dc.tar.gz
VDOL,lowThrust_3,7064,7064,80645,1,0,0,0,1.0,1.0,optimal control problem,80645,2.463,https://sparse.tamu.edu/MM/VDOL/lowThrust_3.tar.gz
VDOL,kineticBatchReactor_5,7641,7641,80767,1,0,0,0,1.0,1.0,optimal control problem,80767,2.467,https://sparse.tamu.edu/MM/VDOL/kineticBatchReactor_5.tar.gz
ML_Graph,usps_norm_5NN,11000,11000,81112,1,0,0,0,1.0,1.0,undirected weighted graph,81112,2.477,https://sparse.tamu.edu/MM/ML_Graph/usps_norm_5NN.tar.gz
Schenk_IBMNA,c-40,9941,9941,81501,1,0,0,0,1.0,1.0,optimization problem,81501,2.489,https://sparse.tamu.edu/MM/Schenk_IBMNA/c-40.tar.gz
VDOL,kineticBatchReactor_6,7773,7773,82500,1,0,0,0,1.0,1.0,optimal control problem,82500,2.520,https://sparse.tamu.edu/MM/VDOL/kineticBatchReactor_6.tar.gz
Gset,G63,7000,7000,82918,1,1,0,0,1.0,1.0,duplicate undirected random graph,82918,2.532,https://sparse.tamu.edu/MM/Gset/G63.tar.gz
Gset,G64,7000,7000,82918,1,0,0,0,1.0,1.0,undirected weighted random graph,82918,2.532,https://sparse.tamu.edu/MM/Gset/G64.tar.gz
Rajat,rajat08,19362,19362,83443,1,1,0,0,1.0,1.0,circuit simulation problem,83443,2.548,https://sparse.tamu.edu/MM/Rajat/rajat08.tar.gz
TOKAMAK,utm5940,5940,5940,83842,1,0,1,0,0.5290493183743677,0.0,electromagnetics problem,83842,2.561,https://sparse.tamu.edu/MM/TOKAMAK/utm5940.tar.gz
AG-Monien,biplane-9,21701,21701,84076,1,1,1,0,1.0,1.0,2D/3D problem,84076,2.568,https://sparse.tamu.edu/MM/AG-Monien/biplane-9.tar.gz
VDOL,kineticBatchReactor_7,7968,7968,84508,1,0,0,0,1.0,1.0,optimal control problem,84508,2.581,https://sparse.tamu.edu/MM/VDOL/kineticBatchReactor_7.tar.gz
Schenk_IBMNA,c-44,10728,10728,85000,1,0,0,0,1.0,1.0,optimization problem,85000,2.596,https://sparse.tamu.edu/MM/Schenk_IBMNA/c-44.tar.gz
VDOL,kineticBatchReactor_8,8052,8052,85194,1,0,0,0,1.0,1.0,optimal control problem,85194,2.602,https://sparse.tamu.edu/MM/VDOL/kineticBatchReactor_8.tar.gz
Norris,fv1,9604,9604,85264,1,0,1,1,1.0,1.0,2D/3D problem,85264,2.604,https://sparse.tamu.edu/MM/Norris/fv1.tar.gz
Grund,bayer04,20545,20545,85537,1,0,0,0,0.001584088708967702,0.0002104352502425851,chemical process simulation problem,159082,4.857,https://sparse.tamu.edu/MM/Grund/bayer04.tar.gz
VDOL,kineticBatchReactor_9,8115,8115,86183,1,0,0,0,1.0,1.0,optimal control problem,86183,2.632,https://sparse.tamu.edu/MM/VDOL/kineticBatchReactor_9.tar.gz
Norris,fv2,9801,9801,87025,1,0,1,1,1.0,1.0,2D/3D problem,87025,2.658,https://sparse.tamu.edu/MM/Norris/fv2.tar.gz
Norris,fv3,9801,9801,87025,1,0,1,1,1.0,1.0,2D/3D problem,87025,2.658,https://sparse.tamu.edu/MM/Norris/fv3.tar.gz
TKK,t2d_q4,9801,9801,87025,1,0,1,0,1.0,0.6937221589143272,structural problem sequence,87025,2.658,https://sparse.tamu.edu/MM/TKK/t2d_q4.tar.gz
TKK,t2d_q9,9801,9801,87025,1,0,1,0,1.0,0.6937221589143272,structural problem sequence,87025,2.658,https://sparse.tamu.edu/MM/TKK/t2d_q9.tar.gz
DIMACS10,cs4,22499,22499,87716,1,1,0,0,1.0,1.0,undirected graph,87716,2.679,https://sparse.tamu.edu/MM/DIMACS10/cs4.tar.gz
GHS_indef,tuma1,22967,22967,87760,1,0,1,0,1.0,1.0,2D/3D problem,87760,2.680,https://sparse.tamu.edu/MM/GHS_indef/tuma1.tar.gz
SNAP,p2p-Gnutella30,36682,36682,88328,1,1,0,0,0.0,0.0,directed graph,88328,2.698,https://sparse.tamu.edu/MM/SNAP/p2p-Gnutella30.tar.gz
AG-Monien,big_dual,30269,30269,89858,1,1,1,0,1.0,1.0,2D/3D problem,89858,2.744,https://sparse.tamu.edu/MM/AG-Monien/big_dual.tar.gz
Gaertner,big,13209,13209,91465,1,0,0,0,1.0,0.999974442854222,directed weighted graph,91465,2.793,https://sparse.tamu.edu/MM/Gaertner/big.tar.gz
VDOL,hangGlider_3,10260,10260,92703,1,0,0,0,1.0,1.0,optimal control problem,92703,2.831,https://sparse.tamu.edu/MM/VDOL/hangGlider_3.tar.gz
AG-Monien,stufe-10,24010,24010,92828,1,1,1,0,1.0,1.0,2D/3D problem,92828,2.835,https://sparse.tamu.edu/MM/AG-Monien/stufe-10.tar.gz
Andrianov,fxm3_6,5026,5026,94026,1,1,0,0,1.0,1.0,optimization problem,94026,2.871,https://sparse.tamu.edu/MM/Andrianov/fxm3_6.tar.gz
Averous,epb1,14734,14734,95053,1,0,1,0,0.7293915511896314,0.0,thermal problem,95053,2.903,https://sparse.tamu.edu/MM/Averous/epb1.tar.gz
Newman,cond-mat,16726,16726,95188,1,0,0,0,1.0,1.0,undirected weighted graph,95188,2.907,https://sparse.tamu.edu/MM/Newman/cond-mat.tar.gz
GHS_indef,linverse,11999,11999,95977,1,0,0,0,1.0,1.0,statistical/mathematical problem,95977,2.931,https://sparse.tamu.edu/MM/GHS_indef/linverse.tar.gz
DIMACS10,cti,16840,16840,96464,1,1,0,0,1.0,1.0,undirected graph,96464,2.946,https://sparse.tamu.edu/MM/DIMACS10/cti.tar.gz
Newman,as-22july06,22963,22963,96872,1,1,0,0,1.0,1.0,undirected graph,96872,2.958,https://sparse.tamu.edu/MM/Newman/as-22july06.tar.gz
IBM_Austin,coupled,11341,11341,97193,1,0,0,0,1.0,0.7823373235828404,circuit simulation problem,98523,3.009,https://sparse.tamu.edu/MM/IBM_Austin/coupled.tar.gz
Rajat,rajat27,20640,20640,97353,1,0,0,0,0.9645908149382882,0.3035747337767303,circuit simulation problem,99777,3.047,https://sparse.tamu.edu/MM/Rajat/rajat27.tar.gz
DIMACS10,delaunay_n14,16384,16384,98244,1,1,0,0,1.0,1.0,undirected graph,98244,3.000,https://sparse.tamu.edu/MM/DIMACS10/delaunay_n14.tar.gz
AG-Monien,se,32768,32768,98300,1,1,0,0,1.0,1.0,undirected graph sequence,98300,3.002,https://sparse.tamu.edu/MM/AG-Monien/se.tar.gz
DIMACS10,fe_sphere,16386,16386,98304,1,1,0,0,1.0,1.0,undirected graph,98304,3.002,https://sparse.tamu.edu/MM/DIMACS10/fe_sphere.tar.gz
FIDAP,ex15,6867,6867,98671,1,0,1,1,1.0,1.0,computational fluid dynamics problem,98671,3.013,https://sparse.tamu.edu/MM/FIDAP/ex15.tar.gz
Hamm,memplus,17758,17758,99147,1,0,0,0,1.0,0.4962095614886533,circuit simulation problem,126150,3.852,https://sparse.tamu.edu/MM/Hamm/memplus.tar.gz
Oberwolfach,LF10000,19998,19998,99982,1,0,1,1,1.0,1.0,model reduction problem,99982,3.053,https://sparse.tamu.edu/MM/Oberwolfach/LF10000.tar.gz
GHS_psdef,ford1,18728,18728,101576,1,1,1,0,1.0,1.0,structural problem,101576,3.102,https://sparse.tamu.edu/MM/GHS_psdef/ford1.tar.gz
Schenk_IBMNA,c-41,9769,9769,101635,1,0,0,0,1.0,1.0,optimization problem,101745,3.107,https://sparse.tamu.edu/MM/Schenk_IBMNA/c-41.tar.gz
CPM,cz10228,10228,10228,102876,1,0,1,0,0.4358431914342458,0.2371988602020551,2D/3D problem,102876,3.141,https://sparse.tamu.edu/MM/CPM/cz10228.tar.gz
Nasa,shuttle_eddy,10429,10429,103599,1,1,1,0,1.0,1.0,duplicate structural problem,103599,3.164,https://sparse.tamu.edu/MM/Nasa/shuttle_eddy.tar.gz
Pothen,shuttle_eddy,10429,10429,103599,1,1,1,0,1.0,1.0,structural problem,103599,3.164,https://sparse.tamu.edu/MM/Pothen/shuttle_eddy.tar.gz
SNAP,wiki-Vote,8297,8297,103689,1,1,0,0,0.0564572905515532,0.0564572905515532,directed graph,103689,3.166,https://sparse.tamu.edu/MM/SNAP/wiki-Vote.tar.gz
Rajat,rajat09,24482,24482,105573,1,1,0,0,1.0,1.0,circuit simulation problem,105573,3.224,https://sparse.tamu.edu/MM/Rajat/rajat09.tar.gz
SNAP,as-caida,31379,31379,106762,1,0,0,0,1.0,0.07869841329311927,directed weighted graph sequence,106762,3.260,https://sparse.tamu.edu/MM/SNAP/as-caida.tar.gz
Hollinger,mark3jac040,18289,18289,106803,1,0,0,0,0.07382338721543732,0.01389985784236298,economic problem,113435,3.464,https://sparse.tamu.edu/MM/Hollinger/mark3jac040.tar.gz
Hollinger,mark3jac040sc,18289,18289,106803,1,0,0,0,0.07382338721543732,0.01173364623056615,economic problem,113435,3.464,https://sparse.tamu.edu/MM/Hollinger/mark3jac040sc.tar.gz
Pothen,barth5,15606,15606,107362,1,1,1,0,1.0,1.0,structural problem,107362,3.278,https://sparse.tamu.edu/MM/Pothen/barth5.tar.gz
Hollinger,g7jac040,11790,11790,107383,1,0,0,0,0.04830823961664447,0.0,economic problem,114671,3.501,https://sparse.tamu.edu/MM/Hollinger/g7jac040.tar.gz
Hollinger,g7jac040sc,11790,11790,107383,1,0,0,0,0.04830823961664447,0.0,economic problem,114671,3.501,https://sparse.tamu.edu/MM/Hollinger/g7jac040sc.tar.gz
DIMACS10,vsp_p0291_seymourl_iiasa,10498,10498,107736,1,1,0,0,1.0,1.0,random unweighted graph,107736,3.290,https://sparse.tamu.edu/MM/DIMACS10/vsp_p0291_seymourl_iiasa.tar.gz
Grueninger,windtunnel_evap2d,8256,8256,109368,1,0,1,0,1.0,0.0,computational fluid dynamics problem,233468,7.127,https://sparse.tamu.edu/MM/Grueninger/windtunnel_evap2d.tar.gz
GHS_indef,bloweybl,30003,30003,109999,1,0,1,0,1.0,1.0,materials problem,120000,3.664,https://sparse.tamu.edu/MM/GHS_indef/bloweybl.tar.gz
Schenk_IBMNA,c-42,10471,10471,110285,1,0,0,0,1.0,1.0,optimization problem,110285,3.368,https://sparse.tamu.edu/MM/Schenk_IBMNA/c-42.tar.gz
DIMACS10,vsp_data_and_seymourl,9167,9167,111732,1,1,0,0,1.0,1.0,random unweighted graph,111732,3.412,https://sparse.tamu.edu/MM/DIMACS10/vsp_data_and_seymourl.tar.gz
Hollinger,jan99jac060,20614,20614,111903,1,0,0,0,0.003378124765408002,0.0,economic problem,127182,3.883,https://sparse.tamu.edu/MM/Hollinger/jan99jac060.tar.gz
Hollinger,jan99jac060sc,20614,20614,111903,1,0,0,0,0.003378124765408002,0.0,economic problem,127182,3.883,https://sparse.tamu.edu/MM/Hollinger/jan99jac060sc.tar.gz
Bodendiek,CurlCurl_0,11083,11083,113343,1,0,1,0,1.0,1.0,model reduction problem,113343,3.461,https://sparse.tamu.edu/MM/Bodendiek/CurlCurl_0.tar.gz
GHS_indef,cvxqp3,17500,17500,114962,1,0,0,0,1.0,1.0,optimization problem,122462,3.739,https://sparse.tamu.edu/MM/GHS_indef/cvxqp3.tar.gz
DIMACS10,de2010,24115,24115,116056,1,0,0,0,1.0,1.0,undirected weighted graph,116056,3.544,https://sparse.tamu.edu/MM/DIMACS10/de2010.tar.gz
Schenk_IBMNA,c-39,9271,9271,116587,1,0,0,0,1.0,1.0,optimization problem,136811,4.177,https://sparse.tamu.edu/MM/Schenk_IBMNA/c-39.tar.gz
Pajek,foldoc,13356,13356,120238,1,0,0,0,0.4785009730700777,0.459472047106572,directed weighted graph,120238,3.671,https://sparse.tamu.edu/MM/Pajek/foldoc.tar.gz
Pothen,bodyy4,17546,17546,121550,1,0,1,1,1.0,1.0,structural problem,121938,3.723,https://sparse.tamu.edu/MM/Pothen/bodyy4.tar.gz
Schenk_IBMNA,c-43,11125,11125,123659,1,0,0,0,1.0,1.0,optimization problem,123675,3.776,https://sparse.tamu.edu/MM/Schenk_IBMNA/c-43.tar.gz
DIMACS10,hi2010,25016,25016,124126,1,0,0,0,1.0,1.0,undirected weighted graph,124126,3.790,https://sparse.tamu.edu/MM/DIMACS10/hi2010.tar.gz
DIMACS10,vsp_c-30_data_data,11023,11023,124368,1,1,0,0,1.0,1.0,random unweighted graph,124368,3.797,https://sparse.tamu.edu/MM/DIMACS10/vsp_c-30_data_data.tar.gz
ML_Graph,indianpines_10NN,9144,9144,124656,1,0,0,0,1.0,1.0,undirected weighted graph,124656,3.806,https://sparse.tamu.edu/MM/ML_Graph/indianpines_10NN.tar.gz
Okunbor,aft01,8205,8205,125567,1,0,1,1,1.0,1.0,acoustics problem,125567,3.834,https://sparse.tamu.edu/MM/Okunbor/aft01.tar.gz
DIMACS10,ri2010,25181,25181,125750,1,0,0,0,1.0,1.0,undirected weighted graph,125750,3.840,https://sparse.tamu.edu/MM/DIMACS10/ri2010.tar.gz
GHS_indef,aug3dcqp,35543,35543,128115,1,0,1,0,1.0,1.0,2D/3D problem,128115,3.912,https://sparse.tamu.edu/MM/GHS_indef/aug3dcqp.tar.gz
Pothen,bodyy5,18589,18589,128853,1,0,1,1,1.0,1.0,structural problem,129281,3.947,https://sparse.tamu.edu/MM/Pothen/bodyy5.tar.gz
Rajat,rajat10,30202,30202,130303,1,1,0,0,1.0,1.0,circuit simulation problem,130303,3.978,https://sparse.tamu.edu/MM/Rajat/rajat10.tar.gz
Schenk_IBMNA,c-46,14913,14913,130397,1,0,0,0,1.0,1.0,optimization problem,130397,3.981,https://sparse.tamu.edu/MM/Schenk_IBMNA/c-46.tar.gz
Schenk_ISEI,igbt3,10938,10938,130500,1,0,1,0,1.0,0.1720279018417223,semiconductor device problem,234006,7.143,https://sparse.tamu.edu/MM/Schenk_ISEI/igbt3.tar.gz
ML_Graph,JapaneseVowelsSmall_10NN,9961,9961,131144,1,0,0,0,1.0,1.0,undirected weighted graph,131144,4.004,https://sparse.tamu.edu/MM/ML_Graph/JapaneseVowelsSmall_10NN.tar.gz
Pajek,Wordnet3,82670,82670,132964,1,0,0,0,0.1765463136851033,0.1741230992912098,directed weighted graph,132964,4.060,https://sparse.tamu.edu/MM/Pajek/Wordnet3.tar.gz
Pothen,bodyy6,19366,19366,134208,1,0,1,1,1.0,1.0,structural problem,134748,4.114,https://sparse.tamu.edu/MM/Pothen/bodyy6.tar.gz
TAMU_SmartGridCenter,ACTIVSg10K,20000,20000,135888,1,0,0,0,1.0,0.02328109899213033,power network problem,137736,4.205,https://sparse.tamu.edu/MM/TAMU_SmartGridCenter/ACTIVSg10K.tar.gz
Oberwolfach,rail_20209,20209,20209,139233,1,0,1,0,1.0,1.0,model reduction problem,139233,4.251,https://sparse.tamu.edu/MM/Oberwolfach/rail_20209.tar.gz
AG-Monien,cca,49152,49152,139264,1,1,0,0,1.0,1.0,undirected graph sequence,139264,4.252,https://sparse.tamu.edu/MM/AG-Monien/cca.tar.gz
GHS_indef,stokes64,12546,12546,140034,1,0,1,0,1.0,1.0,computational fluid dynamics problem,140034,4.275,https://sparse.tamu.edu/MM/GHS_indef/stokes64.tar.gz
GHS_indef,stokes64s,12546,12546,140034,1,0,1,0,1.0,1.0,computational fluid dynamics problem,140034,4.275,https://sparse.tamu.edu/MM/GHS_indef/stokes64s.tar.gz
IPSO,OPF_3754,15435,15435,141478,1,0,0,0,1.0,1.0,power network problem,158273,4.832,https://sparse.tamu.edu/MM/IPSO/OPF_3754.tar.gz
AG-Monien,shock-9,36476,36476,142580,1,1,1,0,1.0,1.0,2D/3D problem,142580,4.353,https://sparse.tamu.edu/MM/AG-Monien/shock-9.tar.gz
Bindel,ted_B,10605,10605,144579,1,0,1,1,1.0,1.0,thermal problem,144579,4.414,https://sparse.tamu.edu/MM/Bindel/ted_B.tar.gz
Bindel,ted_B_unscaled,10605,10605,144579,1,0,1,1,1.0,1.0,thermal problem,144579,4.414,https://sparse.tamu.edu/MM/Bindel/ted_B_unscaled.tar.gz
Rommes,juba40k,40337,40337,144945,1,0,1,0,0.6934462083788981,0.5830536596402579,eigenvalue/model reduction problem,144945,4.425,https://sparse.tamu.edu/MM/Rommes/juba40k.tar.gz
Rommes,bauru5727,40366,40366,145019,1,0,1,0,0.6931521565005984,0.5828064190876452,eigenvalue/model reduction problem,145019,4.428,https://sparse.tamu.edu/MM/Rommes/bauru5727.tar.gz
Shen,shermanACb,18510,18510,145149,1,0,1,0,0.1493062958488302,0.02665845434660729,2D/3D problem,145149,4.432,https://sparse.tamu.edu/MM/Shen/shermanACb.tar.gz
Hollinger,g7jac050sc,14760,14760,145157,1,0,0,0,0.04349647420233192,0.0,economic problem,157990,4.823,https://sparse.tamu.edu/MM/Hollinger/g7jac050sc.tar.gz
ML_Graph,mnist_test_norm_10NN,10000,10000,145600,1,0,0,0,1.0,1.0,undirected weighted graph,145600,4.445,https://sparse.tamu.edu/MM/ML_Graph/mnist_test_norm_10NN.tar.gz
AG-Monien,ccc,49152,49152,147456,1,1,0,0,1.0,1.0,undirected graph sequence,147456,4.502,https://sparse.tamu.edu/MM/AG-Monien/ccc.tar.gz
SNAP,p2p-Gnutella31,62586,62586,147892,1,1,0,0,0.0,0.0,directed graph,147892,4.515,https://sparse.tamu.edu/MM/SNAP/p2p-Gnutella31.tar.gz
QY,case9,14454,14454,147972,1,0,0,0,1.0,1.0,power network problem sequence,147972,4.518,https://sparse.tamu.edu/MM/QY/case9.tar.gz
TSOPF,TSOPF_FS_b9_c6,14454,14454,147972,1,0,0,0,1.0,1.0,power network problem,147972,4.518,https://sparse.tamu.edu/MM/TSOPF/TSOPF_FS_b9_c6.tar.gz
HB,bcsstk18,11948,11948,149090,1,0,1,1,1.0,1.0,structural problem,149090,4.552,https://sparse.tamu.edu/MM/HB/bcsstk18.tar.gz
VDOL,hangGlider_4,15561,15561,149532,1,0,0,0,1.0,1.0,optimal control problem,149532,4.565,https://sparse.tamu.edu/MM/VDOL/hangGlider_4.tar.gz
GHS_psdef,pds10,16558,16558,149658,1,1,0,0,1.0,1.0,optimization problem,149658,4.569,https://sparse.tamu.edu/MM/GHS_psdef/pds10.tar.gz
GHS_indef,bloweya,30004,30004,150009,1,0,1,0,1.0,1.0,materials problem,150009,4.580,https://sparse.tamu.edu/MM/GHS_indef/bloweya.tar.gz
vanHeukelum,cage10,11397,11397,150645,1,0,0,0,1.0,0.1743077099850626,directed weighted graph,150645,4.599,https://sparse.tamu.edu/MM/vanHeukelum/cage10.tar.gz
DIMACS10,wing_nodal,10937,10937,150976,1,1,0,0,1.0,1.0,undirected graph,150976,4.609,https://sparse.tamu.edu/MM/DIMACS10/wing_nodal.tar.gz
Hollinger,jan99jac080,27534,27534,151063,1,0,0,0,0.003333611134261188,0.0,economic problem,171522,5.236,https://sparse.tamu.edu/MM/Hollinger/jan99jac080.tar.gz
Hollinger,jan99jac080sc,27534,27534,151063,1,0,0,0,0.003333611134261188,0.0,economic problem,171522,5.236,https://sparse.tamu.edu/MM/Hollinger/jan99jac080sc.tar.gz
ML_Graph,har_10NN,10299,10299,151736,1,0,0,0,1.0,1.0,undirected weighted graph,151736,4.633,https://sparse.tamu.edu/MM/ML_Graph/har_10NN.tar.gz
Mallya,lhr07,7337,7337,154660,1,0,0,0,0.0173680609288971,0.0,chemical process simulation problem,156508,4.778,https://sparse.tamu.edu/MM/Mallya/lhr07.tar.gz
VDOL,hangGlider_5,16011,16011,155246,1,0,0,0,1.0,1.0,optimal control problem,155246,4.740,https://sparse.tamu.edu/MM/VDOL/hangGlider_5.tar.gz
DIMACS10,vt2010,32580,32580,155598,1,0,0,0,1.0,1.0,undirected weighted graph,155598,4.750,https://sparse.tamu.edu/MM/DIMACS10/vt2010.tar.gz
Mallya,lhr07c,7337,7337,156508,1,0,0,0,0.0173680609288971,0.0,chemical process simulation problem,156508,4.778,https://sparse.tamu.edu/MM/Mallya/lhr07c.tar.gz
ML_Graph,kmnist_norm_10NN,10000,10000,156932,1,0,0,0,1.0,1.0,undirected weighted graph,156932,4.791,https://sparse.tamu.edu/MM/ML_Graph/kmnist_norm_10NN.tar.gz
Schenk_IBMNA,c-49,21132,21132,157040,1,0,0,0,1.0,1.0,optimization problem,157042,4.794,https://sparse.tamu.edu/MM/Schenk_IBMNA/c-49.tar.gz
ML_Graph,Fashion_MNIST_norm_10NN,10000,10000,158304,1,0,0,0,1.0,1.0,undirected weighted graph,158304,4.833,https://sparse.tamu.edu/MM/ML_Graph/Fashion_MNIST_norm_10NN.tar.gz
HVDC,hvdc1,24842,24842,158426,1,0,0,0,0.9817003233707516,0.09899271099935641,power network problem,159981,4.884,https://sparse.tamu.edu/MM/HVDC/hvdc1.tar.gz
Hollinger,mark3jac060,27449,27449,160723,1,0,0,0,0.07388687991287715,0.01402730528871371,economic problem,170695,5.211,https://sparse.tamu.edu/MM/Hollinger/mark3jac060.tar.gz
Hollinger,mark3jac060sc,27449,27449,160723,1,0,0,0,0.07388687991287715,0.0121839735039789,economic problem,170695,5.211,https://sparse.tamu.edu/MM/Hollinger/mark3jac060sc.tar.gz
VDOL,lowThrust_4,13562,13562,160947,1,0,0,0,1.0,1.0,optimal control problem,160947,4.914,https://sparse.tamu.edu/MM/VDOL/lowThrust_4.tar.gz
Schenk_IBMNA,c-48,18354,18354,166080,1,0,0,0,1.0,1.0,optimization problem,166080,5.070,https://sparse.tamu.edu/MM/Schenk_IBMNA/c-48.tar.gz
Zhao,Zhao1,33861,33861,166453,1,0,1,0,0.9224990949680222,0.0,electromagnetics problem,166453,5.082,https://sparse.tamu.edu/MM/Zhao/Zhao1.tar.gz
Zhao,Zhao2,33861,33861,166453,1,0,1,0,0.9224990949680222,0.0,electromagnetics problem,166453,5.082,https://sparse.tamu.edu/MM/Zhao/Zhao2.tar.gz
Simon,raefsky5,6316,6316,167178,1,0,1,0,0.0,0.0,structural problem,168658,5.149,https://sparse.tamu.edu/MM/Simon/raefsky5.tar.gz
MathWorks,Muu,7102,7102,170134,1,0,1,1,1.0,1.0,structural problem,170134,5.194,https://sparse.tamu.edu/MM/MathWorks/Muu.tar.gz
PARSEC,SiH4,5041,5041,171903,1,0,0,0,1.0,1.0,theoretical/quantum chemistry problem,171903,5.248,https://sparse.tamu.edu/MM/PARSEC/SiH4.tar.gz
GHS_indef,bratu3d,27792,27792,173796,1,0,1,0,1.0,1.0,2D/3D problem,173796,5.306,https://sparse.tamu.edu/MM/GHS_indef/bratu3d.tar.gz
Schenk_IBMNA,c-45,13206,13206,174452,1,0,0,0,1.0,1.0,optimization problem,174452,5.326,https://sparse.tamu.edu/MM/Schenk_IBMNA/c-45.tar.gz
Averous,epb2,25228,25228,175027,1,0,1,0,0.6705385216189694,0.0,thermal problem,175027,5.343,https://sparse.tamu.edu/MM/Averous/epb2.tar.gz
Oberwolfach,t2dah,11445,11445,176117,1,0,1,0,1.0,1.0,model reduction problem,176117,5.377,https://sparse.tamu.edu/MM/Oberwolfach/t2dah.tar.gz
Oberwolfach,t2dah_a,11445,11445,176117,1,0,1,0,1.0,1.0,duplicate model reduction problem,176117,5.377,https://sparse.tamu.edu/MM/Oberwolfach/t2dah_a.tar.gz
Oberwolfach,t2dah_e,11445,11445,176117,1,0,1,1,1.0,1.0,duplicate model reduction problem,176117,5.377,https://sparse.tamu.edu/MM/Oberwolfach/t2dah_e.tar.gz
Wang,wang3,26064,26064,177168,1,0,1,0,1.0,0.9780019059720457,semiconductor device problem,177168,5.409,https://sparse.tamu.edu/MM/Wang/wang3.tar.gz
Wang,wang4,26068,26068,177196,1,0,1,0,1.0,0.04647715843523371,semiconductor device problem,177196,5.410,https://sparse.tamu.edu/MM/Wang/wang4.tar.gz
Pajek,dictionary28,52652,52652,178076,1,1,0,0,1.0,1.0,undirected graph,178076,5.436,https://sparse.tamu.edu/MM/Pajek/dictionary28.tar.gz
DIMACS10,t60k,60005,60005,178880,1,1,0,0,1.0,1.0,undirected graph,178880,5.461,https://sparse.tamu.edu/MM/DIMACS10/t60k.tar.gz
GHS_indef,brainpc2,27607,27607,179395,1,0,0,0,1.0,1.0,optimization problem,179395,5.477,https://sparse.tamu.edu/MM/GHS_indef/brainpc2.tar.gz
Schenk_IBMNA,c-50,22401,22401,180245,1,0,0,0,1.0,1.0,optimization problem,193625,5.911,https://sparse.tamu.edu/MM/Schenk_IBMNA/c-50.tar.gz
Goodwin,Goodwin_023,6005,6005,182168,1,0,1,0,0.9572036973485083,0.06214380952916754,computational fluid dynamics,182168,5.561,https://sparse.tamu.edu/MM/Goodwin/Goodwin_023.tar.gz
Hollinger,g7jac060,17730,17730,183325,1,0,0,0,0.04035864774282543,0.0,economic problem,203316,6.207,https://sparse.tamu.edu/MM/Hollinger/g7jac060.tar.gz
Hollinger,g7jac060sc,17730,17730,183325,1,0,0,0,0.04035864774282543,0.0,economic problem,203316,6.207,https://sparse.tamu.edu/MM/Hollinger/g7jac060sc.tar.gz
SNAP,ca-CondMat,23133,23133,186936,1,1,0,0,1.0,1.0,undirected graph,186936,5.707,https://sparse.tamu.edu/MM/SNAP/ca-CondMat.tar.gz
SNAP,wiki-RfA,11380,11380,188077,1,0,0,0,0.07451698016852498,0.06452676823559451,directed weighted temporal multigraph,188077,5.742,https://sparse.tamu.edu/MM/SNAP/wiki-RfA.tar.gz
Hollinger,jan99jac100,34454,34454,190224,1,0,0,0,0.003307461633445052,0.0,economic problem,215862,6.590,https://sparse.tamu.edu/MM/Hollinger/jan99jac100.tar.gz
Hollinger,jan99jac100sc,34454,34454,190224,1,0,0,0,0.003307461633445052,0.0,economic problem,215862,6.590,https://sparse.tamu.edu/MM/Hollinger/jan99jac100sc.tar.gz
Szczerba,Ill_Stokes,20896,20896,191368,1,0,1,0,0.9897436481194791,0.3299904380293234,computational fluid dynamics problem,191368,5.842,https://sparse.tamu.edu/MM/Szczerba/Ill_Stokes.tar.gz
Sandia,mult_dcop_03,25187,25187,193216,1,0,0,0,0.6142197994049846,0.01294544504421048,subsequent circuit simulation problem,193216,5.898,https://sparse.tamu.edu/MM/Sandia/mult_dcop_03.tar.gz
Sandia,mult_dcop_01,25187,25187,193276,1,0,0,0,0.6144759258929472,0.003383612629779353,circuit simulation problem sequence,193276,5.900,https://sparse.tamu.edu/MM/Sandia/mult_dcop_01.tar.gz
Sandia,mult_dcop_02,25187,25187,193276,1,0,0,0,0.6144759258929472,0.003383612629779353,subsequent circuit simulation problem,193276,5.900,https://sparse.tamu.edu/MM/Sandia/mult_dcop_02.tar.gz
Rajat,rajat22,39899,39899,195429,1,0,0,0,0.980070207933121,0.3342735182643515,circuit simulation problem,197264,6.022,https://sparse.tamu.edu/MM/Rajat/rajat22.tar.gz
